Film,Année,Catégorie,Genre,Durée (min),Metascore,Score imdb,Nb votes,CA(gross)
Halloween,2007,16,['Horror'],109,47,61.0,108375,58272029
J'ai rencontré le diable,2010,16,"['Action', 'Crime', 'Drama']",144,67,78.0,108374,128392
Mademoiselle,2016,12,"['Drama', 'Romance', 'Thriller']",145,84,81.0,108059,2006788
Course folle,2001,PG-13,"['Action', 'Adventure', 'Comedy']",112,52,64.0,107906,56618055
The Jacket,2005,12,"['Drama', 'Fantasy', 'Mystery']",103,44,71.0,107763,6303762
Détour mortel,2003,16,"['Horror', 'Thriller']",84,32,61.0,107633,15417771
Le majordome,2013,Tous Public,"['Biography', 'Drama']",132,65,72.0,107459,116632095
Le chaperon rouge,2011,12,"['Fantasy', 'Horror', 'Mystery']",100,29,55.0,107341,37662162
Hunt for the Wilderpeople,2016,PG-13,"['Adventure', 'Comedy', 'Drama']",101,81,79.0,107291,5202582
Spy Kids,2001,Tous publics,"['Action', 'Adventure', 'Comedy']",88,71,55.0,107195,112719001
Le secret des poignards volants,2004,Tous publics,"['Action', 'Adventure', 'Drama']",119,89,75.0,107056,11050094
Divergente 3 : Au-delà du mur,2016,Tous publics,"['Action', 'Adventure', 'Mystery']",120,33,57.0,107017,66184051
Jusqu'à ce que la fin du monde nous sépare,2012,Tous publics,"['Adventure', 'Comedy', 'Drama']",101,59,67.0,106727,6619173
Good Morning England,2009,Tous publics,"['Comedy', 'Drama', 'Music']",135,58,74.0,106636,7994115
Very Bad Dads,2015,Tous Public,"['Comedy', 'Family']",96,42,62.0,106562,150357137
Sex Tape,2014,Tous publics,"['Comedy', 'Romance']",94,36,51.0,106486,38543473
Au bout de la nuit,2008,12,"['Action', 'Crime', 'Drama']",109,55,68.0,106476,26415649
The Fall,2006,R,"['Adventure', 'Drama', 'Fantasy']",117,64,79.0,106438,2280348
Baby Boss,2017,Tous publics,"['Animation', 'Adventure', 'Comedy']",97,50,63.0,106405,175003033
The Best Offer,2013,R,"['Crime', 'Drama', 'Mystery']",131,49,78.0,106359,85433
Only God Forgives,2013,12,"['Action', 'Crime', 'Drama']",90,37,57.0,106195,778565
Doom,2005,12,"['Action', 'Horror', 'Sci-Fi']",105,34,52.0,106110,28212337
Otage,2005,12,"['Action', 'Crime', 'Drama']",113,44,66.0,106059,34639939
Les chemins de la dignité,2000,Tous publics,"['Biography', 'Drama']",129,56,72.0,106046,48818921
Julie & Julia,2009,Tous publics,"['Biography', 'Drama', 'Romance']",123,66,70.0,106023,94125426
Homefront,2013,Tous publics,"['Action', 'Crime', 'Thriller']",100,40,65.0,105995,20158492
L'amour sans préavis,2002,Tous publics,"['Comedy', 'Romance']",101,42,61.0,105883,93354851
Green Room,2015,R,"['Horror', 'Music', 'Thriller']",95,79,70.0,105831,3219029
Coherence,2013,NaN,"['Drama', 'Mystery', 'Sci-Fi']",89,65,72.0,105743,68877
Men in Black: International,2019,Tous publics,"['Action', 'Adventure', 'Comedy']",114,38,56.0,105710,80001807
Coyote Girls,2000,Tous publics,"['Comedy', 'Drama', 'Music']",100,27,57.0,105686,60786269
A Scanner Darkly,2006,Tous publics,"['Animation', 'Crime', 'Drama']",100,73,71.0,105660,5501616
Pompéi,2014,Tous publics avec avertissement,"['Action', 'Adventure', 'Drama']",105,39,55.0,105618,23219748
Destination Finale 5,2011,12,"['Horror', 'Thriller']",92,50,58.0,105554,42587643
Mon beau-père et nous,2010,Tous Public,"['Comedy', 'Romance']",98,27,55.0,105506,148383780
Across the Universe,2007,Tous publics,"['Drama', 'Fantasy', 'History']",133,56,73.0,105477,24343673
Hôtel Transylvanie 2,2015,Tous publics,"['Animation', 'Comedy', 'Family']",89,44,67.0,105451,169700110
Les brasiers de la colère,2013,12,"['Action', 'Crime', 'Drama']",116,63,68.0,105418,11326836
La porte des secrets,2005,PG-13,"['Drama', 'Horror', 'Mystery']",104,47,65.0,105392,47806295
Gothika,2003,12,"['Horror', 'Mystery', 'Thriller']",98,38,58.0,105309,59694580
La mule,2018,Tous publics,"['Crime', 'Drama', 'Thriller']",116,58,70.0,105255,103804407
Just Friends,2005,PG-13,"['Comedy', 'Romance']",96,47,62.0,104999,32619671
A Single Man,2009,Tous publics,"['Drama', 'Romance']",99,77,76.0,104988,9166863
Burnt,2015,Tous publics,"['Comedy', 'Drama']",101,42,66.0,104971,13650738
Push,2009,Tous publics,"['Action', 'Sci-Fi', 'Thriller']",111,36,61.0,104964,31806100
The Host,2006,Tous publics avec avertissement,"['Action', 'Drama', 'Horror']",120,85,71.0,104926,2201923
Precious,2009,12,['Drama'],110,78,73.0,104759,47395661
La nuit au musée: Le secret des pharaons,2014,Tous publics,"['Adventure', 'Comedy', 'Family']",98,47,62.0,104718,113746621
Little Children,2006,Tous publics,"['Comedy', 'Drama', 'Romance']",137,75,75.0,104716,5463019
Gods of Egypt,2016,Tous publics,"['Action', 'Adventure', 'Fantasy']",127,25,54.0,104638,31153464
Amityville,2005,12,['Horror'],90,33,60.0,104487,65233369
Skyscraper,2018,Tous publics,"['Action', 'Adventure', 'Thriller']",102,51,58.0,104329,68420120
Swiss Army Man,2016,R,"['Comedy', 'Drama', 'Fantasy']",97,64,70.0,104273,4208879
Bridget Jones: L'âge de raison,2004,Tous publics,"['Comedy', 'Drama', 'Romance']",108,44,60.0,104253,40226215
Pacific Rim: Uprising,2018,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",111,44,56.0,104184,59874525
Triple frontière,2019,16,"['Action', 'Adventure', 'Crime']",125,61,64.0,1,NaN
Joue-la comme Beckham,2002,Tous publics,"['Comedy', 'Drama', 'Romance']",112,66,66.0,103612,32543449
Parle avec elle,2002,Tous publics,"['Drama', 'Mystery', 'Romance']",112,86,79.0,103562,9284265
Wedding Nightmare,2019,12,"['Comedy', 'Horror', 'Mystery']",95,64,68.0,103553,26744177
Lagaan,2001,Tous publics,"['Adventure', 'Drama', 'Musical']",224,84,81.0,103482,70147
Un havre de paix,2013,Tous Public,"['Drama', 'Romance', 'Thriller']",115,34,67.0,103161,71349120
Mortal Engines,2018,Tous publics,"['Action', 'Adventure', 'Fantasy']",128,44,61.0,103144,15951040
The Queen,2006,Tous publics,"['Biography', 'Drama', 'History']",103,91,73.0,103119,56441711
The barber: l'homme qui n'était pas là,2001,Tous publics,"['Crime', 'Drama']",116,73,75.0,102927,7494849
Un crime dans la tête,2004,R,"['Drama', 'Mystery', 'Sci-Fi']",129,76,66.0,102906,65955630
Hannibal Lecter - Les origines du mal,2007,12,"['Adventure', 'Crime', 'Drama']",121,35,62.0,102895,27670986
La somme de toutes les peurs,2002,Tous publics,"['Action', 'Drama', 'Thriller']",124,45,64.0,102823,118907036
Deux soeurs pour un roi,2008,Tous publics,"['Biography', 'Drama', 'History']",115,50,67.0,102779,26814957
August Rush,2007,Tous publics,"['Drama', 'Music']",114,38,75.0,102770,31655091
"Atlantide, l'empire perdu",2001,Tous publics,"['Animation', 'Action', 'Adventure']",95,52,69.0,102670,84052762
Un amour à New York,2001,Tous publics,"['Comedy', 'Romance']",90,52,69.0,102614,50294317
Kill the Gringo,2012,16,"['Action', 'Crime', 'Drama']",96,60,70.0,1,NaN
American Party,2002,R,"['Comedy', 'Romance']",92,26,64.0,102592,21005329
Paycheck,2003,Tous publics,"['Action', 'Mystery', 'Sci-Fi']",119,43,63.0,102501,53790451
Le scaphandre et le papillon,2007,PG-13,"['Biography', 'Drama']",112,92,80.0,102493,5990075
Les Trois Mousquetaires,2011,Tous publics,"['Action', 'Adventure', 'Fantasy']",110,35,57.0,102470,20377913
Safe,2012,Tous publics,"['Action', 'Crime', 'Thriller']",94,55,65.0,102219,17142080
Le Mexicain,2001,Tous publics,"['Adventure', 'Comedy', 'Crime']",123,43,61.0,102192,66808615
"Frost/Nixon, l'heure de vérité",2008,Tous publics,"['Biography', 'Drama', 'History']",122,80,77.0,102161,18593156
Stoker,2013,12,"['Drama', 'Mystery', 'Thriller']",99,58,68.0,102144,1702277
The Edge of Seventeen,2016,R,"['Comedy', 'Drama']",104,77,73.0,102101,14431633
Wolfman,2010,12,"['Drama', 'Fantasy', 'Horror']",103,43,58.0,102094,61979680
Creed II,2018,Tous publics,"['Drama', 'Sport']",130,66,71.0,101886,115715889
Mise à l'épreuve,2014,Tous publics,"['Action', 'Comedy', 'Crime']",99,41,62.0,101885,134938200
La dame de fer,2011,Tous publics,"['Biography', 'Drama']",105,54,64.0,101876,30017992
"Paul Blart, super vigile",2009,Tous publics,"['Action', 'Comedy', 'Crime']",91,39,52.0,101846,20819129
Family Man,2000,Tous publics,"['Comedy', 'Drama', 'Fantasy']",125,42,68.0,101720,75793305
Okja,2017,13,"['Action', 'Adventure', 'Drama']",120,75,73.0,1,NaN
Mirrors,2008,12,"['Horror', 'Mystery']",110,35,62.0,101506,30691439
Les deux Papes,2019,13,"['Biography', 'Comedy', 'Drama']",125,75,76.0,1,NaN
Seven Sisters,2017,12,"['Action', 'Adventure', 'Crime']",123,47,69.0,1,NaN
The Passenger,2018,Tous publics,"['Action', 'Mystery', 'Thriller']",104,56,63.0,101301,36343858
Fashion victime,2002,Tous publics,"['Comedy', 'Romance']",108,45,62.0,101275,127223418
Big Movie,2007,Tous Public,"['Adventure', 'Comedy']",86,17,24.0,101249,39739367
Spartatouille,2008,Tous Public,['Comedy'],87,9,28.0,100986,38233676
Tenacious D in the Pick of Destiny,2006,Tous publics,"['Adventure', 'Comedy', 'Music']",93,55,68.0,100900,8319186
Dancer in the Dark,2000,Tous publics,"['Crime', 'Drama', 'Musical']",140,61,80.0,100865,4184036
La planète au trésor,2002,Tous publics,"['Animation', 'Adventure', 'Family']",95,60,72.0,100782,38176783
A Beautiful Day,2017,12,"['Crime', 'Drama', 'Mystery']",89,84,68.0,100772,2523610
Le royaume interdit,2008,Tous Public,"['Action', 'Adventure', 'Fantasy']",104,57,66.0,100727,52075270
Night Run,2015,Tous publics,"['Action', 'Crime', 'Thriller']",114,59,66.0,100681,26461644
Power Rangers,2017,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",124,44,59.0,100621,85364450
Saw 6,2009,16,"['Horror', 'Mystery']",90,30,60.0,100618,27693292
Thérapie de couples,2009,Tous publics,['Comedy'],113,23,55.0,100604,109205660
Ordure!,2013,Tous publics avec avertissement,"['Comedy', 'Crime', 'Drama']",97,56,71.0,100507,34321
Pas un bruit,2016,16,"['Horror', 'Thriller']",82,67,66.0,1,NaN
Repo Men,2010,12,"['Action', 'Sci-Fi', 'Thriller']",111,32,63.0,100457,13794835
The Lucky One,2012,PG-13,"['Drama', 'Mystery', 'Romance']",101,39,65.0,100361,60457138
Brick,2005,R,"['Action', 'Crime', 'Drama']",110,72,73.0,100325,2060589
Bienvenue dans la jungle,2003,Tous publics,"['Action', 'Adventure', 'Comedy']",104,59,67.0,100301,47726342
Le voyage d'Arlo,2015,Tous publics,"['Animation', 'Adventure', 'Comedy']",93,66,67.0,100237,123087120
Fréquence interdite,2000,Tous publics,"['Crime', 'Drama', 'Mystery']",118,67,73.0,100187,45010278
Rescue Dawn,2006,Tous Public,"['Action', 'Biography', 'Drama']",120,77,73.0,100122,5490423
Max et les Maximonstres,2009,Tous publics,"['Adventure', 'Drama', 'Family']",101,71,67.0,100049,77233467
Dragons 3: Le monde caché,2019,Tous publics,"['Animation', 'Action', 'Adventure']",104,71,75.0,99955,160799505
Marie Antoinette,2006,Tous publics,"['Biography', 'Drama', 'History']",123,65,64.0,99859,15962471
The Dinner,2010,Tous Public,['Comedy'],114,56,59.0,99591,73026337
Monster House,2006,Tous publics,"['Animation', 'Comedy', 'Family']",91,68,66.0,99583,73661010
Faster,2010,12,"['Action', 'Crime', 'Drama']",98,44,64.0,99571,23240020
Meilleures ennemies,2009,Tous Public,"['Comedy', 'Romance']",89,24,55.0,99471,58715510
Le drôle de Noël de Scrooge,2009,Tous Public,"['Animation', 'Drama', 'Family']",96,55,68.0,99405,137855863
Shanghaï Kid II,2003,Tous Public,"['Action', 'Adventure', 'Comedy']",114,58,62.0,99327,60476872
The Boyfriend: Pourquoi lui?,2016,Tous publics,['Comedy'],111,39,62.0,99316,60323786
Epic: La bataille du royaume secret,2013,Tous publics,"['Animation', 'Adventure', 'Family']",102,52,67.0,98935,107518682
Fright Night,2011,12,"['Comedy', 'Horror']",106,64,63.0,98888,18298649
Attack the Block,2011,Tous publics,"['Action', 'Adventure', 'Comedy']",88,75,66.0,98849,1024175
The Foreigner,2017,Tous publics,"['Action', 'Thriller']",113,55,70.0,98683,34393507
My Movie Project,2013,12,['Comedy'],94,18,43.0,98670,8828771
Alpha Dog,2006,12,"['Biography', 'Crime', 'Drama']",122,53,69.0,98668,15229325
Légion - L'Armée des anges,2010,R,"['Action', 'Fantasy', 'Horror']",100,32,52.0,98483,40168080
Murder Mystery,2019,13,"['Action', 'Comedy', 'Crime']",97,38,60.0,9,NaN
Et si c'était vrai...,2005,Tous Public,"['Comedy', 'Drama', 'Fantasy']",95,47,67.0,98431,48318130
Ladykillers,2004,Tous publics,"['Comedy', 'Crime', 'Thriller']",104,56,62.0,98385,39799191
Silence,2016,Tous publics avec avertissement,"['Drama', 'History']",161,79,72.0,98368,7100177
La 5ème vague,2016,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",112,33,52.0,98312,34916787
Rhum Express,2011,Tous publics,"['Comedy', 'Drama']",119,56,62.0,98275,13100042
Scooby-Doo,2002,Tous publics,"['Adventure', 'Comedy', 'Family']",89,35,51.0,98105,153288182
Danny the Dog,2005,12,"['Action', 'Adventure', 'Crime']",103,58,70.0,97991,24520892
Paranormal Activity 2,2010,Tous publics,"['Horror', 'Mystery']",91,53,56.0,97945,84752907
En territoire ennemi,2001,Tous publics,"['Action', 'Drama', 'Thriller']",106,49,64.0,97938,59068786
A Dangerous Method,2011,R,"['Biography', 'Drama', 'Romance']",99,76,64.0,97928,5702083
Vol 93,2006,R,"['Action', 'Drama', 'History']",111,90,75.0,97740,31567134
Vive les vacances,2015,Tous publics,"['Adventure', 'Comedy']",99,34,61.0,97738,58884188
Raisons d'état,2006,R,"['Drama', 'History', 'Thriller']",167,61,67.0,97643,59952835
Wall Street: l'argent ne dort jamais,2010,Tous Public,['Drama'],133,59,62.0,97484,52474616
Enola Holmes,2020,13,"['Adventure', 'Crime', 'Drama']",123,68,66.0,9,NaN
Broken Flowers,2005,Tous publics,"['Comedy', 'Drama', 'Mystery']",106,79,72.0,97450,13744960
Poséidon,2006,Tous publics,"['Action', 'Adventure', 'Thriller']",98,50,57.0,97425,60674817
Downsizing,2017,Tous publics,"['Drama', 'Sci-Fi']",135,63,57.0,97369,24449754
Le Lorax,2012,Tous publics,"['Animation', 'Adventure', 'Comedy']",86,46,64.0,97364,214030500
Mary,2017,Tous publics,['Drama'],101,60,76.0,97340,24801212
My Name Is Khan,2010,Tous Public,['Drama'],165,50,80.0,97328,4018695
Little Nicky,2000,Tous publics,"['Comedy', 'Fantasy']",90,38,53.0,97208,39464775
Troupe d'élite,2007,16,"['Action', 'Crime', 'Drama']",115,33,81.0,97165,8060
Primer,2004,Tous Public,"['Drama', 'Sci-Fi', 'Thriller']",77,68,69.0,97139,424760
Frankenweenie,2012,Tous publics,"['Animation', 'Comedy', 'Family']",87,74,69.0,97113,35291068
Coup de foudre à Rhode Island,2007,Tous Public,"['Comedy', 'Drama', 'Romance']",98,65,67.0,97112,47642963
Extrêmement fort et incroyablement près,2011,Tous publics,"['Adventure', 'Drama', 'Mystery']",129,46,69.0,97104,31847881
Célibataires... ou presque,2014,R,"['Comedy', 'Romance']",94,36,61.0,96977,26049082
L'interprète,2005,Tous publics,"['Crime', 'Mystery', 'Thriller']",128,62,64.0,96695,72708161
Vendredi 13,2009,12 avec avertissement,"['Horror', 'Mystery', 'Thriller']",97,34,55.0,96662,65002019
Sex Academy,2001,Tous publics avec avertissement,['Comedy'],89,32,57.0,96559,38252284
"Ip Man 2, le retour du grand maître",2010,12,"['Action', 'Biography', 'Drama']",108,67,75.0,96529,205675
Le Chasseur et la Reine des glaces,2016,Tous publics avec avertissement,"['Action', 'Adventure', 'Drama']",114,35,61.0,96518,48390190
The Jane Doe Identity,2016,12,"['Horror', 'Mystery', 'Thriller']",86,65,68.0,9,NaN
La Peur au ventre,2006,12 avec avertissement,"['Action', 'Crime', 'Drama']",122,41,74.0,96430,6855137
Fences,2016,Tous publics,['Drama'],139,79,72.0,96344,57642961
Une famille très moderne,2010,Tous Public,"['Comedy', 'Drama', 'Romance']",101,52,61.0,96203,27758465
Votre majesté,2011,Tous publics,"['Adventure', 'Comedy', 'Fantasy']",102,31,55.0,96126,21596445
Le come back,2007,Tous Public,"['Comedy', 'Music', 'Romance']",104,59,65.0,96119,50572589
Paddington,2014,Tous publics,"['Adventure', 'Comedy', 'Family']",95,77,72.0,96071,76271832
Headhunters,2011,Tous publics,"['Action', 'Crime', 'Thriller']",96,72,75.0,95977,1196752
Destination finale 4,2009,12,"['Action', 'Fantasy', 'Horror']",82,30,52.0,95921,66477700
Carnets de voyage,2004,Tous publics,"['Adventure', 'Biography', 'Drama']",126,75,78.0,95876,16756372
"Love, Simon",2018,Tous publics,"['Comedy', 'Drama', 'Romance']",110,72,76.0,95859,40826341
Endiablé,2000,Tous publics,"['Comedy', 'Fantasy']",93,49,60.0,95853,37879996
Cartel,2013,Tous publics avec avertissement,"['Crime', 'Drama', 'Thriller']",117,48,53.0,95720,16973715
7h58 ce samedi-là,2007,Tous publics,"['Crime', 'Drama', 'Thriller']",117,85,73.0,95639,7083025
Frère des ours,2003,Tous publics,"['Animation', 'Adventure', 'Comedy']",85,48,68.0,95410,85336277
Super Troopers,2001,Tous publics avec avertissement,"['Comedy', 'Crime', 'Mystery']",100,48,71.0,95313,18488314
Ne jamais reculer,2008,Tous publics,"['Action', 'Drama', 'Sport']",113,39,66.0,95076,24850922
St. Vincent,2014,PG-13,"['Comedy', 'Drama']",102,64,72.0,94963,44134898
Elle s'appelle Ruby,2012,R,"['Comedy', 'Drama', 'Fantasy']",104,67,72.0,94926,2540106
Conan,2011,12,"['Action', 'Adventure', 'Fantasy']",113,36,52.0,94607,21295021
The Cell,2000,12,"['Horror', 'Sci-Fi', 'Thriller']",107,40,63.0,94603,61334059
La jeune fille de l'eau,2006,Tous publics,"['Drama', 'Fantasy', 'Mystery']",110,36,55.0,94205,42285169
La face cachée de Margo,2015,Tous Public,"['Comedy', 'Drama', 'Mystery']",109,56,63.0,94133,32000304
Lock Out,2012,PG-13,"['Action', 'Sci-Fi', 'Thriller']",95,48,61.0,93910,14326864
Le dernier chasseur de sorcières,2015,12,"['Action', 'Adventure', 'Fantasy']",106,34,60.0,93886,27367660
Volver,2006,Tous publics,"['Comedy', 'Drama']",121,84,76.0,93841,12899867
The Cloverfield Paradox,2018,16,"['Action', 'Adventure', 'Horror']",102,37,55.0,9,NaN
Hell Driver,2011,12,"['Action', 'Fantasy', 'Thriller']",104,44,54.0,93709,10706786
Motel,2007,12,"['Horror', 'Thriller']",85,54,62.0,93604,19363565
"Good Night, and Good Luck",2005,Tous publics,"['Biography', 'Drama', 'History']",93,80,74.0,93491,31501218
L'étrange pouvoir de Norman,2012,Tous publics,"['Animation', 'Adventure', 'Comedy']",92,72,70.0,93480,56003051
Philomena,2013,Tous publics,"['Biography', 'Comedy', 'Drama']",98,77,76.0,93348,37707719
Colombiana,2011,Tous publics,"['Action', 'Drama', 'Thriller']",108,45,64.0,93344,36665854
Inherent Vice,2014,Tous publics,"['Comedy', 'Crime', 'Drama']",148,81,67.0,93240,8110975
Money Monster,2016,R,"['Crime', 'Drama', 'Thriller']",98,55,65.0,93138,41012075
Jobs,2013,PG-13,"['Biography', 'Drama']",128,44,59.0,93091,16117443
Donne-moi ta main,2010,Tous Public,"['Comedy', 'Romance']",100,33,65.0,93085,25918920
Splice,2009,12,"['Drama', 'Horror', 'Sci-Fi']",104,66,57.0,92982,16999046
Le vaisseau de l'angoisse,2002,12,['Horror'],91,28,55.0,92976,30113491
Treize à la douzaine,2003,Tous Public,"['Comedy', 'Family']",98,46,59.0,92910,138614544
Ali,2001,Tous publics,"['Biography', 'Drama', 'Sport']",157,65,68.0,92902,58203105
30 minutes maximum,2011,R,"['Action', 'Comedy', 'Crime']",83,49,61.0,92785,37053924
Babylon A.D.,2008,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",90,26,56.0,92766,22532572
Fusion,2003,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",135,48,55.0,92614,31186896
The Devil's Rejects,2005,16,['Horror'],107,53,68.0,92608,17044981
Un prophète,2009,12,"['Crime', 'Drama']",150,90,79.0,92595,2084637
À coeur ouvert,2007,R,['Drama'],124,61,74.0,92575,19661987
Cellular,2004,Tous publics,"['Action', 'Crime', 'Mystery']",94,60,65.0,92474,32003620
5 ans de réflexion,2012,Tous publics,"['Comedy', 'Romance']",124,62,62.0,92339,28835528
Insidious: Chapitre 3,2015,12,"['Horror', 'Mystery', 'Thriller']",97,52,61.0,92144,52218558
La légende de Zorro,2005,Tous Public,"['Action', 'Adventure', 'Romance']",129,47,60.0,92122,46464023
Geostorm,2017,Tous publics,"['Action', 'Sci-Fi', 'Thriller']",109,21,53.0,92059,33700160
Freddy : Les Griffes de la nuit,2010,12 avec avertissement,"['Crime', 'Drama', 'Horror']",95,35,52.0,92045,63075011
Zathura - Une aventure spatiale,2005,Tous publics,"['Action', 'Adventure', 'Comedy']",101,67,62.0,92027,29258869
The Florida Project,2017,Tous publics,['Drama'],111,92,76.0,92018,5904366
Amour,2012,Tous publics,"['Drama', 'Romance']",125,94,79.0,91887,6739492
Voyage au centre de la Terre 2: L'île mystérieuse,2012,Tous publics,"['Action', 'Adventure', 'Family']",94,41,58.0,91769,103860290
Grimsby - Agent trop spécial,2016,Tous publics,"['Action', 'Adventure', 'Comedy']",83,44,62.0,91568,6864016
Sahara,2005,Tous publics,"['Action', 'Adventure', 'Comedy']",124,41,60.0,91325,68671925
Lettres à Juliette,2010,PG,"['Adventure', 'Comedy', 'Drama']",105,50,65.0,91317,53032453
Alice de l'autre côté du miroir,2016,Tous publics,"['Adventure', 'Family', 'Fantasy']",113,34,62.0,91217,77042381
The Invitation,2015,NaN,"['Drama', 'Mystery', 'Thriller']",100,74,66.0,91203,231703
Land of the Dead - Le territoire des morts,2005,12,"['Horror', 'Sci-Fi', 'Thriller']",93,71,62.0,91161,20700082
L'an 1 - Des débuts difficiles,2009,Tous publics,['Comedy'],97,34,49.0,91134,43337279
The American,2010,Tous publics,"['Crime', 'Drama', 'Thriller']",105,61,63.0,91008,35606376
En route!,2015,Tous Public,"['Animation', 'Adventure', 'Comedy']",94,55,66.0,90929,177397510
I Love You Phillip Morris,2009,R,"['Biography', 'Comedy', 'Crime']",102,65,66.0,90905,2035566
Le Cercle - The Ring 2,2005,12,"['Horror', 'Mystery']",110,44,54.0,90702,76231249
Séduis-moi si tu peux!,2019,Tous publics,"['Comedy', 'Romance']",125,67,68.0,90694,30316271
L'enquête - The international,2009,Tous publics,"['Action', 'Crime', 'Drama']",118,52,65.0,90694,25450527
Anna Karenine,2012,Tous Public,"['Drama', 'Romance']",129,63,66.0,90588,12816367
Intolérable cruauté,2003,Tous publics,"['Comedy', 'Crime', 'Romance']",100,71,62.0,90508,35327628
Cinquante nuances plus sombres,2017,12,"['Drama', 'Romance']",118,33,46.0,90408,114376885
The Losers,2010,Tous Public,"['Action', 'Adventure', 'Crime']",97,44,63.0,90340,23580735
L'expérience,2001,16,"['Drama', 'Thriller']",120,60,77.0,90294,141072
Le maître du jeu,2003,Tous publics,"['Crime', 'Drama', 'Thriller']",127,61,71.0,90248,49443628
Criminal Squad,2018,Tous publics avec avertissement,"['Action', 'Crime', 'Drama']",148,49,70.0,90243,44947622
Le rite,2011,PG-13,"['Drama', 'Horror', 'Mystery']",114,38,60.0,90220,33047633
Take Shelter,2011,Tous publics avec avertissement,"['Drama', 'Horror', 'Thriller']",121,85,74.0,90199,1729969
Crazy Dad,2012,Tous publics,['Comedy'],116,31,55.0,90141,36931089
Another Earth,2011,Tous publics,"['Drama', 'Romance', 'Sci-Fi']",92,66,70.0,90114,1316074
Millénium 2: La fille qui rêvait d'un bidon d'essence et d'une allumette,2009,12,"['Crime', 'Drama', 'Mystery']",129,66,72.0,90091,9081782
The Guest,2014,R,"['Action', 'Mystery', 'Thriller']",100,76,67.0,90028,322600
Beauté cachée,2016,Tous publics,"['Drama', 'Romance']",97,23,68.0,89969,31016021
Au-delà,2010,Tous publics,"['Drama', 'Fantasy', 'Romance']",129,56,64.0,89860,32746941
Le Dernier des Templiers,2011,Tous publics,"['Action', 'Adventure', 'Fantasy']",95,28,54.0,89756,24827228
Paranormal Activity 3,2011,Tous publics,"['Horror', 'Mystery']",83,59,58.0,89658,104007828
Funny Games U.S.,2007,16,"['Crime', 'Drama', 'Horror']",111,44,66.0,89645,1294640
Saw 3D - Chapitre final,2010,16,"['Horror', 'Mystery']",90,24,56.0,89458,45710178
Traque à Boston,2016,12,"['Action', 'Crime', 'Drama']",133,69,74.0,89456,31886361
Only Lovers Left Alive,2013,Tous publics,"['Comedy', 'Drama', 'Fantasy']",123,79,73.0,89448,1879534
Indian Palace,2011,Tous publics,"['Comedy', 'Drama', 'Romance']",124,62,72.0,89433,46412041
Une nana au poil,2002,PG-13,"['Comedy', 'Fantasy']",104,29,55.0,89143,35081594
L'île des Miam-nimaux: Tempête de boulettes géantes 2,2013,Tous publics,"['Animation', 'Adventure', 'Comedy']",95,59,64.0,89076,119793567
Hors de contrôle,2010,12,"['Action', 'Crime', 'Drama']",117,55,66.0,89028,43313890
Revolver,2005,R,"['Action', 'Crime', 'Drama']",111,25,64.0,89005,75420
Service non compris,2005,R,['Comedy'],94,30,68.0,88884,16124543
Malèna,2000,Tous publics,"['Comedy', 'Drama', 'Romance']",108,54,75.0,88882,3429045
American Nightmare 3 : Élections,2016,12,"['Action', 'Horror', 'Sci-Fi']",108,55,60.0,88801,79213375
Bad Grandpa,2013,R,['Comedy'],92,54,65.0,88678,102003019
Ma vie pour la tienne,2009,Tous Public,"['Drama', 'Family']",109,51,74.0,88628,49200230
Renaissances,2015,Tous publics,"['Action', 'Mystery', 'Sci-Fi']",117,34,65.0,88523,12276810
Le voile des illusions,2006,Tous publics,"['Drama', 'Romance']",125,69,75.0,88411,8060487
The Box,2009,Tous Public,"['Drama', 'Fantasy', 'Mystery']",115,47,56.0,88386,15045676
"Soyez sympas, rembobinez",2008,Tous publics,"['Comedy', 'Sci-Fi']",102,52,64.0,88180,11169531
The X-Files: Régénération,2008,Tous publics avec avertissement,"['Crime', 'Drama', 'Horror']",104,47,59.0,88153,20982478
"Dreamcatcher, l'attrape-rêves",2003,12,"['Drama', 'Horror', 'Sci-Fi']",136,35,55.0,88143,33715436
Booksmart,2019,13,['Comedy'],102,84,72.0,88065,22680962
The One,2001,Tous publics,"['Action', 'Sci-Fi', 'Thriller']",87,25,59.0,88028,43905746
Une nuit à New York,2008,Tous publics,"['Comedy', 'Drama', 'Music']",90,64,66.0,87918,31487293
Persepolis,2007,Tous publics,"['Animation', 'Biography', 'Drama']",96,90,80.0,87666,4445756
Demolition,2015,R,"['Action', 'Comedy', 'Drama']",101,49,70.0,87658,1978592
Une grande année,2006,Tous publics,"['Comedy', 'Drama', 'Romance']",117,47,70.0,87593,7458269
Histoires enchantées,2008,Tous publics,"['Comedy', 'Family', 'Fantasy']",99,33,60.0,87393,110101975
Les chroniques de Spiderwick,2008,Tous publics,"['Action', 'Adventure', 'Drama']",96,62,65.0,87353,71195053
Jessie,2017,NaN,"['Drama', 'Horror', 'Thriller']",103,77,66.0,8,NaN
"Mange, prie, aime",2010,Tous publics,"['Biography', 'Drama', 'Romance']",133,50,58.0,87211,80574010
